U_ID,Requirement,ID,Description
17,Multi-Objective Optimization,MOO1,"The system SHALL optimize multiple objectives AS CLOSE AS POSSIBLE TO the defined targets, even if they are conflicting. In situations where it is unclear which requirement or assumption is more important, the system SHOULD adapt to prioritize based on the current environmental conditions and requirements. MONITOR: conflict level between objectives, prioritization efficiency. ENVIRONMENT: changes in the requirements or assumptions."
17,Multi-Objective Optimization,MOO2,"The system SHALL adapt its optimization strategy AS EARLY AS POSSIBLE AFTER a change in requirements or objectives. MONITOR: time to detect and respond to changes in requirements, efficiency of the new optimization strategy. ENVIRONMENT: dynamic changes in system's goals."
17,Multi-Objective Optimization,MOO3,"EVENTUALLY, the system SHALL achieve a balance in optimizing multiple, possibly conflicting objectives, guaranteeing a reasonable level of satisfaction for each objective. MONITOR: level of satisfaction of each objective, balance efficiency. ENVIRONMENT: dynamic nature of system's requirements."
17,Task Flexibility,TF1,"The system SHALL recognize an alteration in the current task or environment AS EARLY AS POSSIBLE AFTER the change is detected. MONITOR: Task parameters, Environmental conditions. ENVIRONMENT: Current task, Environmental conditions."
17,Task Flexibility,TF2,"Following the recognition of a significant task or environmental change, the system SHALL adapt its current strategy to accommodate the new requirement AS EARLY AS POSSIBLE AFTER the change is recognized. MONITOR: Adaptation strategy, Task parameters. ENVIRONMENT: Current task, Environmental conditions."
17,Task Flexibility,TF3," EVENTUALLY, following significant changes or task alterations, the system SHALL resume optimal execution of its tasks, adapting its operational strategies as needed to fulfill the updated requirements. MONITOR: Task execution metrics, Adaptation effectiveness. ENVIRONMENT: Current task, Environmental conditions."
18,Addressing Conflicting Goals,ACG1,"When conflicting goals are detected, the system SHALL autonomously prioritize them based on their criticality and potential effect on the overall system performance, employing pre-configured importance measures when necessary. MONITOR: identification of conflicting goals, resolution time. ENVIRONMENT: goal criticality, system performance, pre-configured importance measures."
18,Addressing Conflicting Goals,ACG2,"AS EARLY AS POSSIBLE AFTER conflicting goals are identified, the system SHALL notify relevant users or components for possible manual intervention, offering suggestions based on internal prioritization if available. MONITOR: identification of conflicting goals, notification time. ENVIRONMENT: user responses, manual intervention parameters, internal prioritization suggestions."
18,Prioritizing Goals Based on Importance,PGBI1,"The system SHALL prioritize goals based on a set of pre-defined measures of importance to maintain optimal system performance, this includes the capability to evaluate the relative importance of goals in the face of conflicts. MONITOR: detection of new goals, goal importance, system performance. ENVIRONMENT: user requirements, goal parameters, pre-defined importance measures."
18,Prioritizing Goals Based on Importance,PGBI1,"EVENTUALLY, the system SHALL dynamically reallocate resources in response to changes in goal importance to ensure that critical tasks are not compromised. This includes the capability to buffer resources for critical goals and delay non-critical tasks if necessary. MONITOR: resource allocation, system performance, critical task operation. ENVIRONMENT: user requirements, goal importance, system resources."
18,Reducing Effect and Time of New Goals,RETNW1,"EVENTUALLY, the system SHALL optimize its functionalities, harnessing its adaptive capabilities to reduce the disruptive effects and integration time of new goals. MONITOR: detection of new goals, effect on system functionalities, integration time. ENVIRONMENT: goal parameters, system performance."
18,Reducing Effect and Time of New Goals,RETNW2,"AS EARLY AS POSSIBLE AFTER detecting new goals, the system SHALL enact adaptive mechanisms to minimize their disruptive effects, ensuring that ongoing tasks and processes are not compromised. MONITOR: detection of new goals, adaptation time, disruption level. ENVIRONMENT: ongoing tasks, operational surroundings."
19,Feature Utilization,FU1,"The system SHALL optimize the utilization of its features AS EARLY AS POSSIBLE AFTER detecting underutilized or overutilized features. MONITOR: feature utilization rate, system performance. ENVIRONMENT: operational conditions, user interaction data."
19,Feature Utilization,FU2,"EVENTUALLY, the system SHALL balance the utilization of all features, regardless of the initial ambiguity in requirements. MONITOR: feature utilization rate, system performance. ENVIRONMENT: operational conditions, user interaction data."
19,Feature Utilization,FU3,"The system SHALL aim to maximize AS MANY instances of optimal feature utilization as possible, adapting to user behavior and environmental changes. MONITOR: feature utilization rate, user behavior. ENVIRONMENT: user feedback, operational conditions."
19,Objective Adjustment,OA1,"The system SHALL adjust its operational objectives AS CLOSE AS POSSIBLE to the real-time needs of the users or the changing operational environment. MONITOR: user feedback, changes in the operational environment. ENVIRONMENT: user needs, environmental changes."
19,Objective Adjustment,OA2,"EVENTUALLY, the system SHALL adapt to achieve a newly identified objective, regardless of the initial ambiguity of requirements. MONITOR: achievement of new objectives, system performance. ENVIRONMENT: evolving user needs, operational changes."
19,Objective Adjustment,OA3,"The system SHALL aim to minimize AS MANY instances of objective misalignment as possible by continuously updating objectives based on real-time data. MONITOR: objective alignment, real-time data. ENVIRONMENT: user feedback, operational conditions."
20,Compatibility,C1,"The system SHALL be designed to handle new applications and databases, allowing for a transition AS CLOSE AS POSSIBLE to the optimal operation time when these changes occur. MONITOR: system response to new applications and databases, integration issues. ENVIRONMENT: variations in application and database."
20,Compatibility,C2,"EVENTUALLY, the system SHALL ensure seamless operation with any integrated application and database, once they have been incorporated into the system. MONITOR: system performance metrics, number of compatibility issues. ENVIRONMENT: the nature and complexity of the application or database."
20,Compatibility,C3,The system SHALL aim to reduce the number of AS FEW compatibility issues as possible when integrating new applications and databases. MONITOR: frequency and severity of compatibility issues. ENVIRONMENT: complexity of the applications and databases being integrated.
20,Modularity,M1,"The system SHALL be designed AS CLOSE AS POSSIBLE TO a modular architecture to facilitate future updates, changes, or expansions in components. MONITOR: degree of resemblance to a modular architecture, the ease of component updates and changes. ENVIRONMENT: evolving system requirements and component variations."
20,Modularity,M2,"The system SHALL facilitate new goal integration AS EARLY AS POSSIBLE AFTER a new goal is introduced. MONITOR: time to integrate new goal, new goal requirements. ENVIRONMENT: evolution of system's environment or user requirements.
"
20,Modularity,M3,"The system SHALL have AS MANY modules AS POSSIBLE to promote modularity. MONITOR: number of modules, system performance. ENVIRONMENT: application and database requirements."
21,Safety Assurance,SA1,"The system SHALL prioritize safety over other requirements and SHALL attempt to avoid dangerous situations AS EARLY AS POSSIBLE. MONITOR: safety status, risk conditions. ENVIRONMENT: potential risk conditions."
21,Safety Assurance,SA2,"EVENTUALLY, the system SHALL restore safety after risk occurrence. MONITOR: recovery time, safety status. ENVIRONMENT: post-risk conditions."
21,Reliability,R1,"The system SHALL monitor and adapt its behavior AS EARLY AS POSSIBLE after detecting a potential risk factor to ensure reliability. MONITOR: Detected risk factors. ENVIRONMENT: Current operational status, risk factors in the environment."
21,Data Integrity ,DI1,"The system SHALL maintain AS MANY backup points AS POSSIBLE to ensure data integrity and recoverability in case of an adverse event. MONITOR: Number of backup points, frequency of backup creation. ENVIRONMENT: Available storage space, data generation rate."
21,Data Integrity ,DI2,"AS EARLY AS POSSIBLE after the system detects an issue with data integrity, the system SHALL instantiate a backup procedure to prevent data loss. MONITOR: Data integrity status, backup status. ENVIRONMENT: System's operational status, storage availability."
21,Data Integrity ,DI3,"AS EARLY AS POSSIBLE after a backup failure occurs, the system SHALL attempt to rectify the issue and inform the relevant party. MONITOR: Backup failure, restoration status. ENVIRONMENT: System's operational status, storage availability, backup points."
21,Risk Assessment,RA1,"AS EARLY AS POSSIBLE after a risk is detected, the system SHALL assess it and plan for mitigation. MONITOR: Risks, severity, strategies. ENVIRONMENT: System status, conditions, risk frequency."
21,Risk Assessment,RA2,"EVENTUALLY, the system SHALL implement a chosen mitigation strategy. MONITOR: Implemented strategy, risk resolution. ENVIRONMENT: System status, risk severity, strategy success.
"
21,Risk Assessment,RA3,"AS EARLY AS POSSIBLE after a strategy fails, the system SHALL reassess and activate emergency protocol if necessary. MONITOR: Risk status, emergency protocol. ENVIRONMENT: System status, risk severity, strategy effectiveness."
22,Optimized Tradeoff Adaptation ,OTA1,"The system MAY choose to discover an optimal route for execution AS EARLY AS POSSIBLE AFTER identifying a trade-off situation. MONITOR: Frequency and effectiveness of adaptation decisions. ENVIRONMENT: System performance, possible execution routes, trade-off opportunities."
22,Optimized Tradeoff Adaptation ,OTA2,"The system SHALL optimize trade-off decisions AS CLOSE AS POSSIBLE TO the ideal balance between cost and performance, by monitoring the outcomes of previous adaptation decisions and adapting future decisions accordingly. MONITOR: Outcomes of previous adaptation decisions, cost and performance metrics. ENVIRONMENT: Historical performance data, resource availability, system constraints."
22,Optimized Tradeoff Adaptation ,OTA3,"The system SHALL strive to provide AS MANY alternative execution routes AS POSSIBLE. EVENTUALLY, based on its monitoring of available routes and their effectiveness, the system can adapt its decisions to pursue the optimal trade-off under different conditions. MONITOR: Availability and effectiveness of alternative execution routes. ENVIRONMENT: Current system state, operational constraints, resource availability."
22,Modular Component Adaptation,MCA1,"The system SHALL support modularity AS EARLY AS POSSIBLE AFTER the design phase. This ensures that complex parts of the system can be separated into modules that can be individually assessed for trade-off optimization. MONITOR: System complexity, performance of individual modules. ENVIRONMENT: System design and structure, module interfaces."
22,Modular Component Adaptation,MCA2,"The system SHALL have the ability to replace individual modules AS CLOSE AS POSSIBLE TO the identification of a more optimal alternative. This allows for continuous improvement and refinement of the system. MONITOR: Performance metrics of individual modules, available alternatives. ENVIRONMENT: System constraints, dependencies between modules."
22,Modular Component Adaptation,MCA3,"The system SHALL ensure that AS MANY modules AS POSSIBLE can be replaced individually, minimizing disruption to the rest of the system. EVENTUALLY, this allows the system to adapt optimally to changes and improve its overall performance. MONITOR: Inter-module dependencies, system robustness in the face of module replacement. ENVIRONMENT: Operational state, module compatibility, alternative module implementations.




"
23, Error Handling and Fault Tolerance,EHFT1,"EVENTUALLY, the system SHALL handle all latent and unexpected errors and recover from all faults, returning to a safe and functional state. MONITOR: occurrence and type of latent and unexpected errors and faults, system's error and fault handling capability. ENVIRONMENT: system's operational conditions, external factors causing unexpected errors and faults."
23, Error Handling and Fault Tolerance,EHFT2,"The system SHALL minimize the impact of AS MANY errors and faults AS POSSIBLE through robust error handling and fault tolerance procedures. MONITOR: occurrence and type of errors and faults, effectiveness of error handling and fault tolerance procedures. ENVIRONMENT: system's operational conditions."
23, Error Handling and Fault Tolerance,EHFT3,"The system SHALL adapt its configuration AS EARLY AS POSSIBLE after detecting an error or fault. MONITOR: detection of errors and faults, time to adapt configuration. ENVIRONMENT: system's operational conditions, external factors causing errors and faults."
23,Monitoring and Logging,ML1,"The system SHALL record all operational data AS EARLY AS POSSIBLE after every event. MONITOR: frequency of events, time to record data. ENVIRONMENT: system's operational conditions."
23,Monitoring and Logging,ML2,"EVENTUALLY, the system SHALL provide comprehensive logs for all operational data. MONITOR: completeness and accuracy of logs, system's data recording capability. ENVIRONMENT: system's operational conditions."
23,Monitoring and Logging,ML3,"The system SHALL maximize the accuracy of AS MANY logs AS POSSIBLE for effective system analysis. MONITOR: accuracy of logs, system's data recording capability. ENVIRONMENT: system's operational conditions."
24,System Refactorability,SRF1,"The system SHOULD allow for its services to be refactored or replaced with minimal disruption to its overall functionality. MONITOR: Success of refactorings or replacements, disruptions caused by changes. ENVIRONMENT: System's operational state during refactorings."
24,System Refactorability,SRF2,"The system SHALL promote AS MANY points of flexibility AS POSSIBLE to accommodate alternative strategies or designs. MONITOR: Identified points of inflexibility, success in incorporating alternatives. ENVIRONMENT: system's codebase and architectural constraints."
24,System Refactorability,SRF3,"The system SHALL allow for its components to be replaced or updated AS EARLY AS POSSIBLE after identifying a need for refactoring or a shift in design strategy. MONITOR: Time to enable component replacement/update after identifying the need, success of replacements. ENVIRONMENT: System design and operational requirements."
24,System Reconfigurability,SRC1,"The system design SHALL promote modularity, so each component can be adjusted AS EARLY AS POSSIBLE after detecting sub-optimal performance or a change in operational requirements. MONITOR: component performance metrics, operational requirements. ENVIRONMENT: system operational state, system component interactions."
24,System Reconfigurability,SRC2,The system design SHALL promote AS FEW dependencies between components AS POSSIBLE to facilitate independent reconfiguration. MONITOR: number of interdependencies between system components. ENVIRONMENT: system architecture.
24,Design Adaptability,DA1,"The system SHALL have the capability to switch between different operational strategies AS EARLY AS POSSIBLE after detecting sub-optimal performance or unexpected conditions. MONITOR: System operation, performance metrics, and detection of sub-optimal performance or unexpected conditions. ENVIRONMENT: System's operational state, performance metrics, and system logs."
24,Design Adaptability,DA2,"The system SHALL incorporate different coping mechanisms for various scenarios, and transition between these mechanisms AS CLOSE AS POSSIBLE TO the detection of a need for change. MONITOR: System's response time to detected changes in the operational state. ENVIRONMENT: System's operational state and detected changes."
24,Design Adaptability,DA3,The system MAY implement a variety of strategies OR engage fallback mechanisms when faced with scenarios outside the initial design parameters. MONITOR: System's detection of scenarios outside initial design parameters and activation of alternative strategies or fallback mechanisms. ENVIRONMENT: System's operational state and identified scenarios.
25,Tactic Execution,TE1,"The system SHALL execute an adaptation tactic AS EARLY AS POSSIBLE after the need for such tactic is identified. MONITOR: time to identify the need for adaptation, time to execute adaptation. ENVIRONMENT: current system state, operational conditions."
25,Tactic Execution,TE2,"EVENTUALLY, the system SHALL successfully execute an adaptation tactic, regardless of initial latency. MONITOR: success rate of tactic execution, tactic latency. ENVIRONMENT: system's operational context."
25,Tactic Execution,TE3,"The system SHALL achieve AS MANY instances of immediate tactic execution AS POSSIBLE to minimize latency. MONITOR: frequency of immediate tactic execution, tactic latency. ENVIRONMENT: factors influencing tactic execution time."
25,System Reliability,SR1,"The system SHALL maintain a high level of service delivery AS CLOSE AS POSSIBLE TO its defined standards despite adaptation tactic latency. MONITOR: service delivery quality, tactic latency. ENVIRONMENT: system's operational environment, user demands."
25,System Reliability,SR2,"EVENTUALLY, the system SHALL achieve its defined service delivery standards, regardless of initial latency. MONITOR: service delivery rate, tactic latency. ENVIRONMENT: system's performance, external factors."
25,System Reliability,SR3,"The system SHALL aim for AS FEW disruptions in service due to latency AS POSSIBLE through effective tactic execution. MONITOR: service disruption frequency, tactic latency. ENVIRONMENT: system state, operational conditions."
26,Operational Continuity,OC1,"The system SHALL continue to operate AS LONG AS POSSIBLE in the face of implementation shortcomings, making adjustments where necessary. MONITOR: operational continuity despite shortcomings, time before system failure. ENVIRONMENT: severity and nature of implementation."
26,Operational Continuity,OC2,"EVENTUALLY, the system SHALL restore its functionality to normal levels after addressing the implementation shortcomings. MONITOR: system functionality levels, time to restoration. ENVIRONMENT: conditions affecting the rectification of implementation shortcomings."
26, Issue Reporting,IR1,"The system SHALL enable users to report any perceived issues and problems possibly arising due to inadequate implementation AS EARLY AS POSSIBLE after the occurrence of such issues. MONITOR: user feedback and reports, frequency of reported issues, severity of reported issues. ENVIRONMENT: user-interface conditions, communication channels between the user and the system."
26, Issue Reporting,IR2,"The system MAY provide automatic error reporting OR manual user reporting to inform about issues arising from inadequate implementation. MONITOR: type and frequency of reporting, efficiency in addressing the reported issues. ENVIRONMENT: user-interface conditions, availability of automatic error detection mechanisms."
26, Issue Reporting,IR3,"EVENTUALLY, all issues reported by users related to inadequate implementation SHALL be logged and addressed, ensuring the improvement of the system over time. MONITOR: log of reported issues, time taken to address the issues, effectiveness of issue resolution. ENVIRONMENT: System maintenance and enhancement procedures, user satisfaction levels after issue resolution."
27,Resource Efficiency,RE1,"The system SHALL aim to minimize the use of AS MANY computational resources  AS POSSIBLE during deployment. MONITOR: computational resources usage, deployment frequency. ENVIRONMENT: resource availability and demand during deployment."
27,Resource Efficiency,RE2,"EVENTUALLY, the system SHALL return to optimal resource usage following deployment. MONITOR: computational resources usage. ENVIRONMENT: post-deployment resource demand."
27,Resource Efficiency,RE3,"The system SHALL optimize resource allocation AS CLOSE AS POSSIBLE TO the optimal state during deployments. MONITOR: resource allocation, deployment frequency. ENVIRONMENT: resource availability during deployment."
27,Service Continuity,SC1,"The system SHALL aim to encounter AS FEW service disruptions AS POSSIBLE during deployment. MONITOR: service disruptions, deployment frequency. ENVIRONMENT: system demand during deployment."
27,Service Continuity,SC2,"EVENTUALLY, the system SHALL restore service continuity following deployment. MONITOR: service disruptions. ENVIRONMENT: system demand post-deployment."
27,Service Continuity,SC3,"The system SHALL optimize service continuity AS EARLY AS POSSIBLE after initiating deployment. MONITOR: service continuity, deployment time. ENVIRONMENT: system demand during deployment."
28,Parameter Adaptability,PA1,"The system SHALL adapt its predictive models AS SOON AS POSSIBLE after detecting a change in the system parameters. MONITOR: system parameters, performance of predictive models. ENVIRONMENT: dynamic conditions influencing system parameters."
28,Parameter Adaptability,PA2,"EVENTUALLY, the system SHALL stabilize its predictive models despite ongoing changes in system parameters. MONITOR: system parameters, stability of predictive models. ENVIRONMENT: dynamic conditions influencing system parameters."
28,Parameter Adaptability,PA3,"The system SHALL maximize the accuracy of its predictive models AS MUCH AS POSSIBLE despite the uncertainty of future parameter values. MONITOR: system parameters, accuracy of predictive models. ENVIRONMENT: unpredictability of future parameter values."
28,System Reliability,SR1,"The system SHALL maintain its reliability AS CLOSE AS POSSIBLE to the optimal level despite changes in system parameters. MONITOR: system parameters, system reliability. ENVIRONMENT: dynamic conditions affecting system parameters."
28,System Reliability,SR2,"EVENTUALLY, the system SHALL recover its reliability after a parameter change. MONITOR: system parameters, recovery rate. ENVIRONMENT: aftermath conditions of parameter changes.
"
28,System Reliability,SR3,"The system SHALL strive to keep  AS FEW occurances of the reliability drift AS POSSIBLE by swiftly identifying and reacting to parameter changes. MONITOR: system parameters, reliability drift, reaction time. ENVIRONMENT: speed and nature of parameter changes."
29,Simulation Fidelity,SF1,"The system SHALL aim to match the simulated dynamics to the real-world dynamics AS CLOSE AS POSSIBLE. MONITOR: Simulation accuracy metrics, real-world metrics. ENVIRONMENT: The structured behaviors present in the real-world system."
29,Simulation Fidelity,SF2,"EVENTUALLY, the system SHALL identify and correct significant dynamics missing in the simulation. MONITOR: Simulation accuracy metrics, missing dynamics metrics. ENVIRONMENT: Inherent complexity of the real-world system."
29,Simulation Fidelity,SF3,"The system SHALL attempt to improve the simulation dynamics AS EARLY AS POSSIBLE after identifying a significant gap. MONITOR: Time to identify gap, time to improve simulation dynamics. ENVIRONMENT: Structured behaviors present in the real-world system."
29,Adaptive Simulation Refinement ,ASR1,"The system SHALL apply feedback from system's operational data to adapt and refine its simulation model, aiming to reduce the cyber-physical gap. MONITOR: operational system data, simulation model. ENVIRONMENT: simulated system conditions and patterns."
29,Adaptive Simulation Refinement ,ASR2,"AS EARLY AS POSSIBLE after detecting a substantial cyber-physical gap, the system SHALL use operational data to adjust the simulation model, aiming to enhance its accuracy. MONITOR: degree of the cyber-physical gap, effectiveness of simulation adjustment. ENVIRONMENT: observed system dynamics versus simulation."
29,Adaptive Simulation Refinement ,ASR3,"The system SHALL re-evaluate and adjust the simulation model AS CLOSE AS POSSIBLE TO the rate of change in the environment. This continuous adaptation aims to decrease the cyber-physical gap. MONITOR: Changes in the cyber-physical gap, performance of the updated simulation model. ENVIRONMENT: Changes in simulated system conditions and patterns."
30,Latent Behavior Handling,LBH1,"The system SHALL detect latent behaviors AS EARLY AS POSSIBLE after they manifest to avoid any disruptions in the operational flow. MONITOR: latent behavior detection status. ENVIRONMENT: system behavior, operation sequences."
30,Latent Behavior Handling,LBH2,"EVENTUALLY, the system SHALL adapt to correct any unintended behaviors and restore the correct operation sequence. MONITOR: adaptation status, operation sequence restoration status. ENVIRONMENT: latent behaviors, operational flow."
30,Latent Behavior Handling,LBH3,"The system SHALL strive to minimize to AS FEW latent behaviors occurances AS POSSIBLE  by implementing stringent system checks and testing. MONITOR: frequency of latent behaviors, effectiveness of system checks and testing. ENVIRONMENT: system behavior, operation sequences."
30,Process Invocation Management,PIM1,"The system SHALL ensure that all prerequisites are met before invoking a process AS EARLY AS POSSIBLE. MONITOR: status of prerequisites, invocation status. ENVIRONMENT: preconditions for process invocation."
30,Process Invocation Management,PIM2,"EVENTUALLY, the system SHALL invoke all necessary processes, regardless of initial sequence issues. MONITOR: frequency of missed invocations, correction status. ENVIRONMENT: operational workflow."
30,Process Invocation Management,PIM3,"The system SHALL manage to trigger the correct processes AS MANY times as possible despite sequence errors. MONITOR: frequency of incorrect process triggering, correction status. ENVIRONMENT: system architecture, operational workflow."
